host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
SLC25A26	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.258	na||STRING DB score	na||na	na||na	na||source:ppi	Q70HW3	Tbio
SLC25A5	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	up	quantity change	na	P05141	Tbio
SLC27A1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.5539999999999999	na||STRING DB score	na||na	na||na	na||source:ppi	Q6PCB7	Tchem
SLC27A2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.35700000000000004	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	O14975	Tbio
SLC28A1	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.262	na||STRING DB score	na||na	na||na	source:dti||source:ppi	O00337	Tbio
SLC28A3	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.265	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q9HAS3	Tchem
SLC29A1	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.63	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q99808	Tclin
SLC29A2	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.555	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q14542	Tbio
SLC29A3	dti_jm_nhc	False	Prediction by Jordi Mestres, PhD (JM)	File shared by JM	False	True	na	na	na	na	source:dti	Q9BZD2	Tbio
SLC2A1	hostprot_nat||ppi_sg||ppi_string	True||True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||SmartGraph||STRING	Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.07||0.382	na||confidence||STRING DB score	down||na||na	quantity change||na||na	na||source:ppi||source:ppi	P11166	Tchem
SLC30A2	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na	Q9BRI3	Tbio
SLC30A6	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.18	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q6NXT4	Tbio
SLC30A7	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.207	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q8NEW0	Tbio
SLC30A9	hpi_krogan||hostprot_taiml||ppi_sg||ppi_string	True||False||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Preprint/Nature, experimental data||Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False||False	True||True||False||False	na||na||0.65||0.268	na||na||confidence||STRING DB score	na||na||na||na	na||na||na||na	source:hpi||na||source:ppi||source:ppi	Q6PML9	Tbio
SLC44A2	hpi_krogan||hostprot_taiml	True||False	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Preprint/Nature, experimental data||Shared by TIO	False||False	True||True	na||na	na||na	na||na	na||na	source:hpi||na	Q8IWA5	Tbio
SLC44A3	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.276	na||STRING DB score	na||na	na||na	na||source:ppi	Q8N4M1	Tbio
SLC47A1	dti_jm_cam||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.165	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q96FL8	Tchem
SLC5A7	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.17800000000000002	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q9GZV3	Tchem
SLC9A3R1	hpi_krogan||hostprot_nat||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.16	na||na||STRING DB score	na||down||na	na||quantity change||na	source:hpi||na||source:ppi	O14745	Tbio
SLIRP	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.199	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q9GZT3	Tbio
SLU7	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.369	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O95391	Tbio
SMAD1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.92	confidence	na	na	source:ppi	Q15797	Tbio
SMAD2	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	1.0	confidence	na	na	source:ppi	Q15796	Tbio
SMAD3	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.23||0.213	na||confidence||STRING DB score	na||na||na	na||na||na	notes:RUNX3 regulates CDKN1A transcription;role:resistance_pro_viral||source:ppi||source:ppi	P84022	Tbio
SMAD4	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.1||0.225	na||confidence||STRING DB score	na||na||na	na||na||na	notes:RUNX3 regulates CDKN1A transcription;role:resistance_pro_viral||source:ppi||source:ppi	Q13485	Tbio
SMAD7	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.06	confidence	na	na	source:ppi	O15105	Tbio
SMARCA1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.264	na||STRING DB score	na||na	na||na	notes:NURF complex;role:sensitization_anti-viral||source:ppi	P28370	Tbio
SMARCA4	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.99||0.16899999999999998	na||confidence||STRING DB score	na||na||na	na||na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi||source:ppi	P51532	Tchem
SMARCA5	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.638	na||STRING DB score	na||na	na||na	notes:NURF complex;role:sensitization_anti-viral||source:ppi	O60264	Tbio
SMARCB1	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.99||0.999	na||confidence||STRING DB score	na||na||na	na||na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi||source:ppi	Q12824	Tbio
SMARCC1	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||1.0||0.998	na||confidence||STRING DB score	na||na||na	na||na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi||source:ppi	Q92922	Tbio
SMARCC2	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||1.0||0.998	na||confidence||STRING DB score	na||na||na	na||na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi||source:ppi	Q8TAQ2	Tbio
SMARCCA4	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:SWI/SNF complex;role:resistance_pro_viral	na	unk
SMARCD1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.997	na||STRING DB score	na||na	na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi	Q96GM5	Tbio
SMARCD2	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.997	na||STRING DB score	na||na	na||na	notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi	Q92925	Tbio
SMARCE1	hostprot_nat||hostprot_crispr||ppi_string	True||True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Shared by TIO||Extracted by TIO||STRING API	False||False||False	True||True||False	na||na||0.996	na||na||STRING DB score	up||na||na	quantity change||na||na	na||notes:SWI/SNF complex;role:resistance_pro_viral||source:ppi	Q969G3	Tbio
SMG5	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.365	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q9UPR3	Tbio
SMOC1	hpi_krogan||hostprot_nat||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.253	na||na||STRING DB score	na||up||na	na||quantity change||na	source:hpi||na||source:ppi	Q9H4F8	Tbio
SNIP1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.203	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q8TAD8	Tbio
SNRPB	ppi_string	True	STRING	STRING API	False	False	0.599	STRING DB score	na	na	source:ppi	P14678	Tbio
SNRPD1	ppi_string	True	STRING	STRING API	False	False	0.429	STRING DB score	na	na	source:ppi	P62314	Tbio
SNRPD2	ppi_string	True	STRING	STRING API	False	False	0.355	STRING DB score	na	na	source:ppi	P62316	Tbio
SNRPD3	ppi_string	True	STRING	STRING API	False	False	0.5710000000000001	STRING DB score	na	na	source:ppi	P62318	Tbio
SNRPE	ppi_string	True	STRING	STRING API	False	False	0.457	STRING DB score	na	na	source:ppi	P62304	Tbio
SNRPF	ppi_string	True	STRING	STRING API	False	False	0.447	STRING DB score	na	na	source:ppi	P62306	Tdark
SNRPG	ppi_string	True	STRING	STRING API	False	False	0.454	STRING DB score	na	na	source:ppi	P62308	Tdark
SORCS1	hostprot_taiml	False	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Shared by TIO	False	True	na	na	na	na	na	Q8WY21	Tbio
SP1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.07	confidence	na	na	source:ppi	P08047	Tbio
SPART	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.471	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8N0X7	Tbio
SPCS3	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.412	na||STRING DB score	up||na	quantity change||na	na||source:ppi	P61009	Tdark
SPINT2	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.155	na||STRING DB score	down||na	quantity change||na	na||source:ppi	O43291	Tbio
SPTBN5	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.21	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NRC6	Tbio
SPTY2D1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.371	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	Q68D10	Tbio
SQSTM1	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.21	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q13501	Tbio
SRC	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.45	confidence	na	na	source:ppi	P12931	Tclin
SRP19	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.162	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P09132	Tbio
SRP54	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.203	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61011	Tbio
SRP72	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.563	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O76094	Tbio
SRSF1	ppi_string	True	STRING	STRING API	False	False	0.25	STRING DB score	na	na	source:ppi	Q07955	Tbio
SSB	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.773	na||STRING DB score	na||na	na||na	notes:viral translation;role:sensitization_anti-viral||source:ppi	P05455	Tbio
STAT1	hpi_phipster||ppi_sg	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||SmartGraph	Predictions by PHIPSTER webapp, shared by TIO||SmartGraph analysis max. dist=3, min. conf=0	False||False	True||False	na||0.23	na||confidence	na||na	na||na	source:hpi||source:ppi	P42224	Tchem
STAT3	hpi_phipster||ppi_sg||ppi_string	False||True||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Predictions by PHIPSTER webapp, shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.15||0.166	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	P40763	Tchem
STAT5A	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.26	confidence	na	na	source:ppi	P42229	Tchem
STC2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.915	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O76061	Tbio
STOM	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.194	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P27105	Tbio
STOML2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.29	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9UJZ1	Tbio
STRAP	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.53||0.287	na||confidence||STRING DB score	na||na||na	na||na||na	notes:SMN complex;role:sensitization_anti-viral||source:ppi||source:ppi	Q9Y3F4	Tbio
STT3A	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.287	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P46977	Tbio
SUMO1	ppi_string	True	STRING	STRING API	False	False	0.371	STRING DB score	na	na	source:ppi	P63165	Tbio
SUMO2	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.247	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P61956	Tbio
SUN2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.379	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9UH99	Tbio
SYT8	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.309	na||STRING DB score	na||na	na||na	na||source:ppi	Q8NBV8	Tbio
TAF1	hostprot_hats||ppi_sg	False||True	Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD||SmartGraph	TIO, TW||SmartGraph analysis max. dist=3, min. conf=0	True||False	False||False	na||0.02	na||confidence	na||na	na||na	na||source:ppi	P21675	Tchem
TAF13	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.179	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	Q15543	Tbio
TAPT1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.153	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q6NXT6	Tdark
TARM1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.9	na||STRING DB score	na||na	na||na	na||source:ppi	B6A8C7	Tbio
TARS2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.248	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BW92	Tbio
TBCA	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.181	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	O75347	Tbio
TBK1	hpi_krogan||ppi_sg||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph||STRING	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.12||0.183	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	Q9UHD2	Tchem
TBKBP1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.217	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	A7MCY6	Tbio
TCF12	hpi_krogan||ppi_sg||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph||STRING	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.19||0.175	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	Q99081	Tbio
TDP1	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.443	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q9NUW8	Tchem
TECR	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.426	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q9NZ01	Tbio
TFRC	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.23	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P02786	Tbio
TGFB1	hostprot_crispr||ppi_sg||ppi_string	True||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph||STRING	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.08||0.221	na||confidence||STRING DB score	na||na||na	na||na||na	notes:RUNX3 regulates CDKN1A transcription;role:resistance_pro_viral||source:ppi||source:ppi	P01137	Tchem
TGFBR1	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.23	confidence	na	na	source:ppi	P36897	Tchem
TH1L	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
THTPA	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.228	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BU02	Tbio
TIMM10	hpi_krogan||hostprot_taiml||hostprot_crispr||ppi_string	True||False||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Preprint/Nature, experimental data||Shared by TIO||Extracted by TIO||STRING API	False||False||False||False	True||True||True||False	na||na||na||0.629	na||na||na||STRING DB score	na||na||na||na	na||na||na||na	source:hpi||na||notes:;role:sensitization_anti-viral||source:ppi	P62072	Tbio
TIMM10B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.173	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y5J6	Tdark
